protein,com_id,com_pubchem_id,prob
SIR1,COM00000758,1060,0.84
BECN1,COM00004561,46936484,0.84
SIR3,COM00001891,60961,0.84
SIR1,COM00004835,743,0.84
IGF1,COM00002137,6912,0.84
BECN1,COM00002226,612,0.84
SIR1,COM00001891,60961,0.82
SIR1,COM00001180,2879,0.82
SIR1,COM00004398,46936193,0.82
IGF1,COM00005500,444863,0.82
SIR1,COM00006167,9996708,0.82
SIR1,COM00005155,3007,0.82
BECN1,COM00006020,5281672,0.82
SIR1,COM00004018,25322948,0.82
BECN1,COM00000205,2519,0.82
IGF1,COM00004406,54670067,0.82
SIR2,COM00000205,2519,0.8
BECN1,COM00001188,6037,0.8
SIR1,COM00005361,10133,0.8
IGF1,COM00001891,60961,0.8
SIR3,COM00000671,936,0.8
CDN2A,COM00002631,785,0.8
SIR1,COM00000671,936,0.8
BECN1,COM00002768,12620,0.8
CDN2A,COM00006114,5978,0.8
BECN1,COM00000369,46936757,0.8
SIR1,COM00004524,448751,0.8
SIR1,COM00003297,3776,0.8
BECN1,COM00005599,3715,0.8
SIR2,COM00002234,702,0.8
SIR1,COM00006015,6054,0.8
SIR1,COM00005101,31401,0.8
SIR1,COM00002046,221493,0.8
BECN1,COM00000718,5280961,0.78
IGF1,COM00004561,46936484,0.78
SIR1,COM00001233,1031,0.78
SIR1,COM00004713,7054,0.78
BECN1,COM00004345,16666,0.78
SIR1,COM00002768,12620,0.78
SIR1,COM00005439,79034,0.78
SIR1,COM00000998,1110,0.78
SIR3,COM00002234,702,0.78
SIR2,COM00000666,445154,0.78
SIR3,COM00000666,445154,0.76
BECN1,COM00004730,342,0.76
SIR1,COM00005174,681,0.76
KLOT,COM00004930,5280795,0.76
IGF1,COM00004258,439260,0.76
IGF1,COM00002768,12620,0.76
IGF1,COM00006608,1174,0.76
IGF1,COM00002122,46937002,0.76
IGF1,COM00001233,1031,0.76
BECN1,COM00001634,971,0.76
CDN2A,COM00000037,241903,0.76
SIR1,COM00004185,7997,0.76
SIR1,COM00004258,439260,0.76
SIR1,COM00001306,385,0.76
BECN1,COM00002122,46937002,0.76
SIR1,COM00004373,31721,0.74
CDN2A,COM00000666,445154,0.74
SIR1,COM00005599,3715,0.74
BECN1,COM00006167,9996708,0.74
SIR1,COM00004345,16666,0.74
IGF1,COM00005095,9294,0.74
IGF1,COM00003297,3776,0.74
SIR4,COM00005599,3715,0.74
SIR1,COM00006114,5978,0.74
IGF1,COM00006114,5978,0.74
BECN1,COM00002137,6912,0.74
BECN1,COM00000320,107971,0.72
IGF1,COM00003354,790,0.72
IGF1,COM00004629,5283731,0.72
BECN1,COM00001180,2879,0.72
CDN2A,COM00001695,289,0.72
BECN1,COM00004185,7997,0.72
IGF1,COM00001237,5280863,0.72
SIR1,COM00002001,3182,0.7
SIR1,COM00004376,2353,0.7
IGF1,COM00000058,5280343,0.7
BECN1,COM00001233,1031,0.7
BECN1,COM00003488,637517,0.7
SIR1,COM00001467,441478,0.7
SIR1,COM00002728,26470759,0.7
SIR3,COM00000996,6137,0.7
BECN1,COM00002234,702,0.7
IGF1,COM00006167,9996708,0.7
BECN1,COM00002929,14985,0.7
SIR1,COM00001038,6581,0.7
SIR1,COM00001997,5870,0.68
BECN1,COM00005095,9294,0.68
SIR2,COM00004134,5429,0.68
BECN1,COM00002927,445354,0.68
BECN1,COM00005895,5281855,0.68
BECN1,COM00000837,72281,0.68
BECN1,COM00000098,757,0.68
BECN1,COM00006234,5282745,0.68
BECN1,COM00000994,5280934,0.68
CDN2A,COM00000058,5280343,0.68
SIR1,COM00002226,612,0.68
SIR1,COM00006492,311,0.68
SIR1,COM00000098,757,0.68
IGF1,COM00005174,681,0.68
SIR2,COM00005155,3007,0.68
BECN1,COM00005189,47936,0.66
BECN1,COM00004262,1549107,0.66
SIR5,COM00000666,445154,0.66
SIR1,COM00001076,6021,0.66
SIR1,COM00004325,5326566,0.66
BECN1,COM00003297,3776,0.66
SIR1,COM00001719,443884,0.66
SIR1,COM00001188,6037,0.66
CDN2A,COM00004625,33032,0.66
BECN1,COM00004258,439260,0.66
IGF1,COM00000205,2519,0.66
IGF1,COM00003074,439246,0.64
BECN1,COM00000996,6137,0.64
SIR1,COM00000117,3631,0.64
KLOT,COM00004629,5283731,0.64
IGF1,COM00004077,1135,0.64
SIR5,COM00000671,936,0.64
CDN2A,COM00003588,10836,0.64
SIR3,COM00004948,24417,0.64
SIR4,COM00001188,6037,0.64
SIR1,COM00001192,6305,0.64
SIR1,COM00003265,119205,0.64
SIR3,COM00000837,72281,0.64
SIR1,COM00000101,439685,0.64
BECN1,COM00006015,6054,0.64
BECN1,COM00002046,221493,0.62
IGF1,COM00004345,16666,0.62
BECN1,COM00005361,10133,0.62
BECN1,COM00005101,31401,0.62
IGF1,COM00001123,264,0.62
BECN1,COM00001997,5870,0.62
IGF1,COM00004930,5280795,0.62
SIR1,COM00002956,46936492,0.62
IGF1,COM00000718,5280961,0.62
SIR1,COM00000837,72281,0.62
SIR1,COM00005095,9294,0.62
SIR1,COM00001634,971,0.62
SIR2,COM00000890,2153,0.62
SIR1,COM00004327,760,0.62
BECN1,COM00001753,1005,0.62
SIR1,COM00006100,441074,0.6
IGF1,COM00002927,445354,0.6
IGF1,COM00004134,5429,0.6
IGF1,COM00000890,2153,0.6
SIR1,COM00005895,5281855,0.6
SIR1,COM00002175,190,0.6
SIR2,COM00002001,3182,0.6
SIR2,COM00004625,33032,0.6
SIR1,COM00002335,3034034,0.6
SIR1,COM00004077,1135,0.6
KLOT,COM00000666,445154,0.6
SIR1,COM00003201,10235,0.6
BECN1,COM00001038,6581,0.6
BECN1,COM00002728,26470759,0.58
BECN1,COM00005174,681,0.58
IGF1,COM00002659,10430,0.58
IGF1,COM00006015,6054,0.58
SIR1,COM00000076,54675858,0.58
SIR2,COM00001192,6305,0.58
BECN1,COM00001467,441478,0.58
SIR2,COM00004623,493570,0.58
CDN2A,COM00002506,996,0.58
SIR1,COM00001753,1005,0.58
SIR1,COM00002927,445354,0.58
BECN1,COM00006608,1174,0.58
SIR2,COM00000675,1130,0.58
SIR2,COM00005599,3715,0.58
SIR1,COM00004056,2230,0.58
SIR1,COM00005890,647,0.58
BECN1,COM00001111,453551,0.58
SIR1,COM00002178,145742,0.56
SIR1,COM00004406,54670067,0.56
IGF1,COM00002683,7991,0.56
SIR1,COM00000675,1130,0.56
IGF1,COM00001997,5870,0.56
BECN1,COM00002001,3182,0.56
SIR2,COM00001719,443884,0.56
BECN1,COM00004398,46936193,0.56
SIR1,COM00000037,241903,0.56
SIR4,COM00001192,6305,0.56
IGF1,COM00003107,6128,0.56
BECN1,COM00004077,1135,0.56
IGF1,COM00002929,14985,0.56
SIR1,COM00005979,938,0.56
SIR1,COM00001865,154417,0.54
SIR5,COM00000890,2153,0.54
SIR1,COM00004625,33032,0.54
SIR1,COM00001194,6288,0.54
IGF1,COM00000516,5994,0.54
SIR1,COM00005845,5288826,0.54
BECN1,COM00004406,54670067,0.54
IGF1,COM00005895,5281855,0.54
SIR1,COM00005220,19,0.54
SIR1,COM00000039,174174,0.54
BECN1,COM00004134,5429,0.54
BECN1,COM00002989,3000346,0.54
IGF1,COM00003549,46936732,0.54
SIR2,COM00001997,5870,0.54
BECN1,COM00002956,46936492,0.54
SIR1,COM00001106,8617,0.54
IGF1,COM00001753,1005,0.54
BECN1,COM00004948,24417,0.54
SIR2,COM00004713,7054,0.54
SIR2,COM00000748,6274,0.54
SIR1,COM00004873,8969,0.54
SIR1,COM00006267,998,0.52
SIR1,COM00004628,750,0.52
IGF1,COM00000850,3662,0.52
SIR2,COM00006114,5978,0.52
SIR2,COM00000037,241903,0.52
SIR1,COM00003549,46936732,0.52
IGF1,COM00000037,241903,0.52
SIR1,COM00004262,1549107,0.52
BECN1,COM00000076,54675858,0.52
SIR4,COM00006114,5978,0.52
SIR4,COM00000037,241903,0.52
SIR2,COM00000014,6089,0.52
BECN1,COM00001891,60961,0.5
BECN1,COM00004376,2353,0.5
SIR1,COM00005017,11047943,0.5
BECN1,COM00006100,441074,0.5
BECN1,COM00002335,3034034,0.5
IGF1,COM00002001,3182,0.5
CDN2A,COM00000996,6137,0.5
SIR1,COM00001628,3000322,0.5
CDN2A,COM00005599,3715,0.5
SIR1,COM00004927,1054,0.5
SIR1,COM00006608,1174,0.5
IGF1,COM00004835,743,0.5
BECN1,COM00003549,46936732,0.5
SIR1,COM00000748,6274,0.5
CDN2A,COM00004948,24417,0.5
IGF1,COM00005890,647,0.5
SIR5,COM00001188,6037,0.5
KLOT,COM00002234,702,0.5
CDN2A,COM00001111,453551,0.48
SIR3,COM00003549,46936732,0.48
CDN2A,COM00005155,3007,0.48
CDN2A,COM00002989,3000346,0.48
BECN1,COM00002627,6013,0.48
BECN1,COM00005890,647,0.48
SIR2,COM00003297,3776,0.48
SIR2,COM00001891,60961,0.48
IGF1,COM00000101,439685,0.48
SIR1,COM00005448,444294,0.48
SIR1,COM00004622,6106,0.48
SIR3,COM00002175,190,0.48
SIR5,COM00004134,5429,0.48
SIR3,COM00003297,3776,0.48
SIR2,COM00004325,5326566,0.48
SIR2,COM00004373,31721,0.46
SIR1,COM00000995,6057,0.46
SIR2,COM00004376,2353,0.46
SIR2,COM00002335,3034034,0.46
CDN2A,COM00005421,955,0.46
BECN1,COM00004524,448751,0.46
BECN1,COM00002175,190,0.46
SIR2,COM00005149,942,0.46
KLOT,COM00000890,2153,0.46
BECN1,COM00005845,5288826,0.46
BECN1,COM00006114,5978,0.46
SIR2,COM00001233,1031,0.46
SIR2,COM00001106,8617,0.46
BECN1,COM00004018,25322948,0.46
SIR1,COM00002896,338,0.46
SIR2,COM00006100,441074,0.46
SIR1,COM00004923,6287,0.46
BECN1,COM00003265,119205,0.46
IGF1,COM00004927,1054,0.46
SIR3,COM00001233,1031,0.46
SIR1,COM00004922,5950,0.44
BECN1,COM00000037,241903,0.44
SIR3,COM00001180,2879,0.44
SIR1,COM00003206,6047,0.44
SIR1,COM00004623,493570,0.44
IGF1,COM00005448,444294,0.44
SIR1,COM00003147,440473,0.44
BECN1,COM00005421,955,0.44
SIR2,COM00004524,448751,0.44
SIR1,COM00000140,1123,0.44
SIR2,COM00006123,1176,0.42
SIR1,COM00004003,1491,0.42
SIR1,COM00000198,5770,0.42
IGF1,COM00000369,46936757,0.42
KLOT,COM00000205,2519,0.42
BECN1,COM00005017,11047943,0.42
IGF1,COM00001467,441478,0.42
BECN1,COM00004003,1491,0.42
BECN1,COM00000850,3662,0.42
BECN1,COM00005220,19,0.42
BECN1,COM00004873,8969,0.42
SIR2,COM00004018,25322948,0.42
IGF1,COM00004923,6287,0.42
SIR1,COM00004237,239,0.42
SIR3,COM00004730,342,0.42
SIR2,COM00001076,6021,0.42
IGF1,COM00002728,26470759,0.42
IGF1,COM00001188,6037,0.42
SIR5,COM00001192,6305,0.4
IGF1,COM00004376,2353,0.4
IGF1,COM00002956,46936492,0.4
IGF1,COM00005189,47936,0.4
BECN1,COM00001628,3000322,0.4
SIR1,COM00001195,9750,0.4
IGF1,COM00000998,1110,0.4
SIR2,COM00004927,1054,0.4
SIR2,COM00003201,10235,0.4
CDN2A,COM00001191,5862,0.4
IGF1,COM00004373,31721,0.4
KLOT,COM00004134,5429,0.4
SIR2,COM00005174,681,0.4
BECN1,COM00000039,174174,0.4
SIR2,COM00002929,14985,0.4
SIR1,COM00005892,3532,0.4
IGF1,COM00004185,7997,0.4
SIR1,COM00000993,5951,0.4
KLOT,COM00001195,9750,0.4
SIR1,COM00004411,6140,0.4
SIR1,COM00006123,1176,0.4
IGF1,COM00004018,25322948,0.4
BECN1,COM00001865,154417,0.4
IGF1,COM00001076,6021,0.4
IGF1,COM00002178,145742,0.4
IGF1,COM00005892,3532,0.4
IGF1,COM00004908,379,0.38
SIR2,COM00000117,3631,0.38
SIR3,COM00001191,5862,0.38
CDN2A,COM00005149,942,0.38
SIR2,COM00000198,5770,0.38
BECN1,COM00005448,444294,0.38
IGF1,COM00002278,3893,0.38
IGF1,COM00001038,6581,0.38
CDN2A,COM00002234,702,0.38
IGF1,COM00003181,12530,0.38
IGF1,COM00000363,2969,0.38
SIR2,COM00004873,8969,0.38
SIR5,COM00000205,2519,0.38
SIR2,COM00001180,2879,0.38
BECN1,COM00003354,790,0.36
SIR3,COM00003074,439246,0.36
IGF1,COM00000837,72281,0.36
SIR2,COM00000101,439685,0.36
SIR1,COM00000516,5994,0.36
SIR2,COM00002175,190,0.36
IGF1,COM00005439,79034,0.36
SIR1,COM00000278,14969,0.36
SIR2,COM00004730,342,0.36
BECN1,COM00001194,6288,0.36
SIR2,COM00005095,9294,0.36
BECN1,COM00004927,1054,0.36
IGF1,COM00002226,612,0.36
IGF1,COM00005421,955,0.36
IGF1,COM00003147,440473,0.36
CDN2A,COM00000198,5770,0.36
CDN2A,COM00004622,6106,0.36
SIR1,COM00004948,24417,0.36
BECN1,COM00004327,760,0.36
SIR2,COM00002631,785,0.36
SIR5,COM00003549,46936732,0.36
SIR3,COM00001997,5870,0.36
SIR1,COM00003107,6128,0.36
SIR1,COM00000996,6137,0.34
SIR1,COM00002954,7478,0.34
SIR1,COM00006107,446220,0.34
BECN1,COM00005892,3532,0.34
IGF1,COM00000098,757,0.34
SIR2,COM00002506,996,0.34
BECN1,COM00004373,31721,0.34
BECN1,COM00000198,5770,0.34
BECN1,COM00000140,1123,0.34
IGF1,COM00000583,6590,0.34
SIR5,COM00005599,3715,0.34
CDN2A,COM00003549,46936732,0.34
IGF1,COM00001111,453551,0.34
SIR2,COM00003206,6047,0.34
SIR2,COM00003549,46936732,0.34
IGF1,COM00001194,6288,0.34
CDN2A,COM00004524,448751,0.34
IGF1,COM00002989,3000346,0.34
SIR4,COM00000198,5770,0.34
IGF1,COM00004623,493570,0.34
SIR2,COM00001111,453551,0.32
IGF1,COM00005845,5288826,0.32
IGF1,COM00004262,1549107,0.32
CDN2A,COM00005088,6267,0.32
IGF1,COM00001195,9750,0.32
SIR2,COM00003265,119205,0.32
SIR3,COM00000675,1130,0.32
IGF1,COM00000278,14969,0.32
IGF1,COM00003206,6047,0.32
SIR2,COM00004258,439260,0.32
CDN2A,COM00004923,6287,0.32
SIR2,COM00000278,14969,0.32
BECN1,COM00002954,7478,0.32
KLOT,COM00004327,760,0.32
CDN2A,COM00000993,5951,0.32
CDN2A,COM00004922,5950,0.32
SIR2,COM00003147,440473,0.32
CDN2A,COM00006123,1176,0.32
IGF1,COM00005979,938,0.32
IGF1,COM00004625,33032,0.32
SIR1,COM00005088,6267,0.32
SIR1,COM00004410,5962,0.32
IGF1,COM00003265,119205,0.32
SIR5,COM00000748,6274,0.3
IGF1,COM00002335,3034034,0.3
SIR3,COM00000993,5951,0.3
BECN1,COM00003201,10235,0.3
BECN1,COM00000014,6089,0.3
BECN1,COM00000995,6057,0.3
BECN1,COM00000278,14969,0.3
BECN1,COM00005155,3007,0.3
KLOT,COM00000459,1045,0.3
KLOT,COM00002939,199,0.3
SIR2,COM00005088,6267,0.3
SIR2,COM00006608,1174,0.3
BECN1,COM00003206,6047,0.3
IGF1,COM00001306,385,0.3
CDN2A,COM00004927,1054,0.3
CDN2A,COM00002728,26470759,0.3
IGF1,COM00004622,6106,0.3
IGF1,COM00002175,190,0.3
SIR2,COM00004077,1135,0.3
CDN2A,COM00004373,31721,0.3
IGF1,COM00006492,311,0.3
IGF1,COM00006100,441074,0.3
IGF1,COM00000995,6057,0.3
CDN2A,COM00001467,441478,0.3
SIR1,COM00002989,3000346,0.3
SIR1,COM00005421,955,0.3
SIR1,COM00003179,243,0.3
IGF1,COM00000675,1130,0.28
SIR1,COM00002939,199,0.28
SIR5,COM00002939,199,0.28
SIR3,COM00004922,5950,0.28
SIR3,COM00001076,6021,0.28
SIR3,COM00005149,942,0.28
SIR3,COM00006608,1174,0.28
KLOT,COM00002001,3182,0.28
SIR2,COM00006015,6054,0.28
BECN1,COM00004713,7054,0.28
BECN1,COM00000101,439685,0.28
CDN2A,COM00004404,5960,0.28
SIR2,COM00000671,936,0.28
SIR5,COM00001106,8617,0.28
SIR5,COM00002001,3182,0.26
SIR1,COM00004404,5960,0.26
SIR2,COM00005189,47936,0.26
IGF1,COM00004873,8969,0.26
BCL2,COM00001188,6037,0.26
SIR4,COM00000996,6137,0.26
SIR4,COM00002234,702,0.26
CDN2A,COM00004730,342,0.26
IGF1,COM00003201,10235,0.26
SIR1,COM00001111,453551,0.26
KLOT,COM00001191,5862,0.26
KLOT,COM00003297,3776,0.26
CDN2A,COM00003074,439246,0.26
SIR5,COM00000278,14969,0.26
CDN2A,COM00001192,6305,0.26
KLOT,COM00002178,145742,0.26
BECN1,COM00002896,338,0.26
KLOT,COM00001188,6037,0.26
BECN1,COM00002178,145742,0.26
SIR3,COM00002631,785,0.26
IGF1,COM00000993,5951,0.26
CDN2A,COM00004628,750,0.26
SIR3,COM00000718,5280961,0.26
BECN1,COM00004056,2230,0.26
CDN2A,COM00004345,16666,0.26
SIR2,COM00000850,3662,0.26
BECN1,COM00000516,5994,0.26
KLOT,COM00006123,1176,0.26
CDN2A,COM00005095,9294,0.26
SIR3,COM00004077,1135,0.26
KLOT,COM00001117,1102,0.26
SIR2,COM00001695,289,0.26
SIR2,COM00002989,3000346,0.26
SIR2,COM00002178,145742,0.26
IGF1,COM00003488,637517,0.26
BECN1,COM00006123,1176,0.24
KLOT,COM00004628,750,0.24
BECN1,COM00004325,5326566,0.24
SIR5,COM00003354,790,0.24
SIR2,COM00004410,5962,0.24
BECN1,COM00004623,493570,0.24
IGF1,COM00005017,11047943,0.24
SIR3,COM00002768,12620,0.24
KLOT,COM00002122,46937002,0.24
KLOT,COM00002929,14985,0.24
IGF1,COM00000039,174174,0.24
CDN2A,COM00004410,5962,0.24
SIR2,COM00004948,24417,0.24
BECN1,COM00004625,33032,0.24
CDN2A,COM00001194,6288,0.24
SIR5,COM00001195,9750,0.24
SIR5,COM00001997,5870,0.24
IGF1,COM00001628,3000322,0.24
SIR2,COM00002768,12620,0.24
SIR3,COM00001111,453551,0.24
IGF1,COM00000994,5280934,0.24
BECN1,COM00003107,6128,0.24
SIR2,COM00000993,5951,0.24
IGF1,COM00006234,5282745,0.24
BECN1,COM00005088,6267,0.24
SIR3,COM00004927,1054,0.24
SIR3,COM00005017,11047943,0.24
SIR3,COM00002137,6912,0.24
IGF1,COM00004922,5950,0.24
SIR2,COM00004411,6140,0.24
IGF1,COM00001865,154417,0.24
KLOT,COM00000993,5951,0.24
IGF1,COM00004713,7054,0.24
IGF1,COM00005088,6267,0.24
SIR3,COM00001194,6288,0.24
SIR3,COM00005979,938,0.22
SIR5,COM00005361,10133,0.22
CDN2A,COM00001237,5280863,0.22
IGF1,COM00000758,1060,0.22
SIR5,COM00006608,1174,0.22
SIR4,COM00002728,26470759,0.22
CDN2A,COM00004077,1135,0.22
SIR4,COM00000675,1130,0.22
SIR5,COM00004077,1135,0.22
SIR5,COM00005101,31401,0.22
SIR5,COM00002046,221493,0.22
IGF1,COM00002954,7478,0.22
BECN1,COM00001195,9750,0.22
IGF1,COM00000117,3631,0.22
CDN2A,COM00000675,1130,0.22
CDN2A,COM00005448,444294,0.22
SIR5,COM00004623,493570,0.22
SIR4,COM00001467,441478,0.22
SIR4,COM00003549,46936732,0.22
SIR5,COM00004018,25322948,0.22
SIR3,COM00004923,6287,0.22
IGF1,COM00002939,199,0.22
IGF1,COM00000748,6274,0.22
SIR4,COM00002989,3000346,0.22
SIR4,COM00001106,8617,0.22
BECN1,COM00004622,6106,0.22
IGF1,COM00000140,1123,0.22
IGF1,COM00004237,239,0.22
CDN2A,COM00004623,493570,0.22
CDN2A,COM00000101,439685,0.22
BCL2,COM00005599,3715,0.22
SIR3,COM00001695,289,0.22
CDN2A,COM00001233,1031,0.22
CDN2A,COM00006608,1174,0.22
SIR3,COM00006015,6054,0.22
SIR2,COM00004345,16666,0.22
BECN1,COM00003147,440473,0.22
SIR2,COM00005895,5281855,0.22
CDN2A,COM00005174,681,0.22
BECN1,COM00000993,5951,0.22
SIR3,COM00005599,3715,0.22
IGF1,COM00004056,2230,0.22
SIR3,COM00005174,681,0.22
SIR3,COM00004398,46936193,0.22
KLOT,COM00004922,5950,0.22
IGF1,COM00006158,1032,0.22
BECN1,COM00004923,6287,0.22
IGF1,COM00000459,1045,0.22
BECN1,COM00000675,1130,0.22
KLOT,COM00000101,439685,0.22
IGF1,COM00006020,5281672,0.2
SIR4,COM00002175,190,0.2
SIR5,COM00005448,444294,0.2
SIR5,COM00001891,60961,0.2
SIR4,COM00004948,24417,0.2
SIR5,COM00000675,1130,0.2
SIR4,COM00002939,199,0.2
SIR4,COM00001111,453551,0.2
SIR4,COM00006492,311,0.2
KLOT,COM00004237,239,0.2
KLOT,COM00002927,445354,0.2
BECN1,COM00000748,6274,0.2
CDN2A,COM00002137,6912,0.2
KLOT,COM00001233,1031,0.2
SIR4,COM00000666,445154,0.2
SIR3,COM00004628,750,0.2
SIR3,COM00004237,239,0.2
IGF1,COM00001192,6305,0.2
BECN1,COM00000890,2153,0.2
SIR3,COM00006114,5978,0.2
CDN2A,COM00006492,311,0.2
KLOT,COM00000369,46936757,0.2
SIR2,COM00001195,9750,0.2
IGF1,COM00003588,10836,0.2
BECN1,COM00004411,6140,0.2
IGF1,COM00006123,1176,0.2
SIR3,COM00000320,107971,0.2
SIR3,COM00004625,33032,0.2
CDN2A,COM00003297,3776,0.2
IGF1,COM00004325,5326566,0.2
CDN2A,COM00005895,5281855,0.2
SIR2,COM00000996,6137,0.2
KLOT,COM00005448,444294,0.2
KLOT,COM00000748,6274,0.2
CDN2A,COM00002768,12620,0.2
SIR2,COM00005421,955,0.2
SIR2,COM00000995,6057,0.2
SIR5,COM00002175,190,0.2
SIR5,COM00000101,439685,0.18
SIR4,COM00000671,936,0.18
BECN1,COM00004237,239,0.18
IGF1,COM00001719,443884,0.18
CDN2A,COM00002178,145742,0.18
BECN1,COM00000671,936,0.18
CDN2A,COM00000516,5994,0.18
CDN2A,COM00000076,54675858,0.18
SIR2,COM00004056,2230,0.18
SIR2,COM00005979,938,0.18
SIR2,COM00005892,3532,0.18
SIR2,COM00006267,998,0.18
SIR2,COM00002137,6912,0.18
SIR2,COM00001194,6288,0.18
SIR2,COM00000516,5994,0.18
KLOT,COM00006267,998,0.18
SIR2,COM00003107,6128,0.18
SIR2,COM00005448,444294,0.18
SIR3,COM00002001,3182,0.18
SIR3,COM00002728,26470759,0.18
SIR3,COM00002927,445354,0.18
SIR3,COM00006167,9996708,0.18
BECN1,COM00006107,446220,0.18
CDN2A,COM00002175,190,0.18
KLOT,COM00005599,3715,0.18
SIR3,COM00002989,3000346,0.18
SIR5,COM00006107,446220,0.18
SIR5,COM00004376,2353,0.18
SIR4,COM00003588,10836,0.18
BCL2,COM00004376,2353,0.18
SIR4,COM00004625,33032,0.18
CDN2A,COM00000671,936,0.18
IGF1,COM00000076,54675858,0.18
SIR3,COM00001467,441478,0.18
BECN1,COM00003179,243,0.18
BECN1,COM00006267,998,0.18
SIR3,COM00002939,199,0.18
BECN1,COM00001117,1102,0.18
SIR2,COM00004561,46936484,0.16
SIR5,COM00006114,5978,0.16
CDN2A,COM00000140,1123,0.16
CDN2A,COM00004185,7997,0.16
SIR2,COM00002122,46937002,0.16
IGF1,COM00005155,3007,0.16
CDN2A,COM00003201,10235,0.16
CDN2A,COM00000459,1045,0.16
KLOT,COM00005189,47936,0.16
KLOT,COM00000671,936,0.16
KLOT,COM00004404,5960,0.16
SIR3,COM00000198,5770,0.16
SIR3,COM00004258,439260,0.16
CDN2A,COM00000278,14969,0.16
SIR3,COM00000037,241903,0.16
BECN1,COM00002939,199,0.16
IGF1,COM00004410,5962,0.16
SIR3,COM00000098,757,0.16
CDN2A,COM00003107,6128,0.16
SIR3,COM00006492,311,0.16
IGF1,COM00001106,8617,0.16
BECN1,COM00004404,5960,0.16
CDN2A,COM00002954,7478,0.16
KLOT,COM00005149,942,0.16
KLOT,COM00004407,1103,0.16
SIR3,COM00001237,5280863,0.16
CDN2A,COM00003265,119205,0.16
SIR2,COM00006167,9996708,0.16
SIR5,COM00002627,6013,0.16
IGF1,COM00002046,221493,0.16
BECN1,COM00004407,1103,0.16
SIR4,COM00005421,955,0.16
IGF1,COM00005101,31401,0.16
BCL2,COM00005149,942,0.16
CDN2A,COM00004325,5326566,0.16
SIR2,COM00004327,760,0.16
IGF1,COM00004628,750,0.16
CDN2A,COM00004237,239,0.16
SIR5,COM00004927,1054,0.16
