UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;CCCC(CCC)C(=O)O;3121
Q14457;BCL2_HUMAN;CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O;3218
Q14457;BCL2_HUMAN;C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;3224
Q14457;BCL2_HUMAN;CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl;3339
Q14457;BCL2_HUMAN;C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F;3352
Q14457;BCL2_HUMAN;C1=C(C(=O)NC(=O)N1)F;3385
Q14457;BCL2_HUMAN;CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F;3386
Q14457;BCL2_HUMAN;CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F;3397
Q14457;BCL2_HUMAN;C(C(=O)O)NCP(=O)(O)O;3496
Q14457;BCL2_HUMAN;CC(C)C1=CC(=O)C(=CC=C1)O;3611
Q14457;BCL2_HUMAN;CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O;3715
Q14457;BCL2_HUMAN;CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I;3730
Q14457;BCL2_HUMAN;CNC1(CCCCC1=O)C2=CC=CC=C2Cl;3821
Q14457;BCL2_HUMAN;CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C;3885
Q14457;BCL2_HUMAN;C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4;3973
Q14457;BCL2_HUMAN;CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24;4011
Q14457;BCL2_HUMAN;CC1=CC(=O)C2=CC=CC=C2C1=O;4055
Q14457;BCL2_HUMAN;COP(=O)(N)SC;4096
Q14457;BCL2_HUMAN;CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4;4205
Q14457;BCL2_HUMAN;C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO;4212
Q14457;BCL2_HUMAN;C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O;4477
Q14457;BCL2_HUMAN;C1=CC(=O)C=CC1=O;4650
Q14457;BCL2_HUMAN;C1C=C2C(=CC(=O)O2)C(O1)O;4696
Q14457;BCL2_HUMAN;COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2;4713
