,UniprotID,PubChem_CID,interaction
270,Q14457,222757,1
271,Q14457,246598,1
272,Q14457,253602,1
273,Q14457,312145,1
274,Q14457,352938,1
275,Q14457,387447,1
276,Q14457,439533,1
277,Q14457,441541,1
278,Q14457,442458,1
279,Q14457,442530,1
280,Q14457,442583,1
281,Q14457,442793,1
282,Q14457,443495,1
283,Q14457,444795,1
284,Q14457,445154,1
285,Q14457,445434,1
286,Q14457,446925,1
287,Q14457,448537,1
288,Q14457,448601,1
289,Q14457,451668,1
290,Q14457,457193,1
291,Q14457,590836,1
292,Q14457,644019,1
293,Q14457,830608,1
294,Q14457,969516,1
295,Q14457,1548943,1
296,Q14457,1548972,1
297,Q14457,2733515,1
298,Q14457,2834965,1
299,Q14457,3000706,1
300,Q14457,3006531,1
301,Q14457,3018355,1
302,Q14457,3032536,1
303,Q14457,3032581,1
304,Q14457,3086599,1
305,Q14457,3091786,1
306,Q14457,3467590,1
307,Q14457,3825829,1
308,Q14457,4068248,1
309,Q14457,5280343,1
310,Q14457,5280443,1
311,Q14457,5280445,1
312,Q14457,5280453,1
313,Q14457,5280647,1
314,Q14457,5280795,1
315,Q14457,5281224,1
316,Q14457,5281233,1
317,Q14457,5281319,1
318,Q14457,5281576,1
319,Q14457,5281605,1
320,Q14457,5281614,1
321,Q14457,5281616,1
322,Q14457,5281727,1
323,Q14457,5281788,1
324,Q14457,5281847,1
325,Q14457,5281858,1
326,Q14457,5283560,1
327,Q14457,5284373,1
328,Q14457,5284461,1
329,Q14457,5288783,1
330,Q14457,5288826,1
331,Q14457,5311139,1
332,Q14457,5311172,1
333,Q14457,5311501,1
334,Q14457,5329102,1
335,Q14457,5352425,1
336,Q14457,5353431,1
337,Q14457,5359596,1
338,Q14457,5387181,1
339,Q14457,5388962,1
340,Q14457,5458510,1
341,Q14457,5459308,1
342,Q14457,5462310,1
343,Q14457,5497171,1
344,Q14457,5702538,1
345,Q14457,5717801,1
346,Q14457,6018993,1
347,Q14457,6326970,1
348,Q14457,6435890,1
349,Q14457,6436223,1
350,Q14457,6476031,1
351,Q14457,6914120,1
352,Q14457,6918774,1
353,Q14457,9549209,1
354,Q14457,9578570,1
355,Q14457,9814817,1
356,Q14457,9818306,1
357,Q14457,9887712,1
358,Q14457,9910393,1
359,Q14457,9918693,1
360,Q14457,10091424,1
361,Q14457,10200390,1
362,Q14457,10313045,1
363,Q14457,10334137,1
364,Q14457,11168203,1
365,Q14457,11178236,1
366,Q14457,11228183,1
367,Q14457,11450633,1
368,Q14457,11524144,1
369,Q14457,11601669,1
370,Q14457,11655119,1
371,Q14457,11784642,1
372,Q14457,11949646,1
373,Q14457,12313376,1
374,Q14457,12359166,1
375,Q14457,12934390,1
376,Q14457,14036811,1
377,Q14457,14101198,1
378,Q14457,14240392,1
379,Q14457,15558620,1
380,Q14457,16211032,1
381,Q14457,21146795,1
382,Q14457,21944094,1
383,Q14457,24776445,1
384,Q14457,24808138,1
385,Q14457,24866313,1
386,Q14457,25167777,1
387,Q14457,44144393,1
388,Q14457,46907787,1
389,Q14457,53308655,1
390,Q14457,53308705,1
391,Q14457,53469448,1
392,Q14457,54679073,1
393,Q14457,54680783,1
394,Q14457,56970298,1
395,Q14457,57426056,1
396,Q14457,69247748,1
397,Q14457,71307558,1
398,Q14457,73073981,1
399,Q14457,76336194,1
400,Q14457,88776687,1
401,Q14457,135398658,1
402,Q14457,135398661,1
403,Q14457,139269842,1
404,Q14457,154926030,1
405,Q14457,169408274,1
406,Q8N726,11,1
407,Q8N726,241,1
408,Q8N726,247,1
409,Q8N726,264,1
410,Q8N726,297,1
411,Q8N726,544,1
412,Q8N726,702,1
413,Q8N726,784,1
414,Q8N726,785,1
415,Q8N726,890,1
416,Q8N726,896,1
417,Q8N726,935,1
418,Q8N726,936,1
419,Q8N726,977,1
420,Q8N726,991,1
421,Q8N726,1119,1
422,Q8N726,1254,1
423,Q8N726,1322,1
424,Q8N726,1530,1
425,Q8N726,1983,1
426,Q8N726,2148,1
427,Q8N726,2236,1
428,Q8N726,2336,1
429,Q8N726,2347,1
430,Q8N726,2478,1
431,Q8N726,2513,1
432,Q8N726,2533,1
433,Q8N726,2578,1
434,Q8N726,2719,1
435,Q8N726,2797,1
436,Q8N726,2912,1
437,Q8N726,2973,1
438,Q8N726,3026,1
439,Q8N726,3036,1
440,Q8N726,3120,1
441,Q8N726,3121,1
442,Q8N726,3334,1
443,Q8N726,3385,1
444,Q8N726,3386,1
