UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;;444795
Q14457;BCL2_HUMAN;;445154
Q14457;BCL2_HUMAN;;445434
Q14457;BCL2_HUMAN;;446925
Q14457;BCL2_HUMAN;;448537
Q14457;BCL2_HUMAN;;448601
Q14457;BCL2_HUMAN;;451668
Q14457;BCL2_HUMAN;;457193
Q14457;BCL2_HUMAN;;590836
Q14457;BCL2_HUMAN;;644019
Q14457;BCL2_HUMAN;;830608
Q14457;BCL2_HUMAN;;969516
Q14457;BCL2_HUMAN;;1548943
Q14457;BCL2_HUMAN;;1548972
Q14457;BCL2_HUMAN;;2733515
Q14457;BCL2_HUMAN;;2834965
Q14457;BCL2_HUMAN;;3000706
Q14457;BCL2_HUMAN;;3006531
Q14457;BCL2_HUMAN;;3018355
Q14457;BCL2_HUMAN;;3032536
Q14457;BCL2_HUMAN;;3032581
Q14457;BCL2_HUMAN;;3086599
Q14457;BCL2_HUMAN;;3091786
Q14457;BCL2_HUMAN;;3467590
Q14457;BCL2_HUMAN;;3825829
Q14457;BCL2_HUMAN;;4068248
Q14457;BCL2_HUMAN;;5280343
Q14457;BCL2_HUMAN;;5280443
Q14457;BCL2_HUMAN;;5280445
Q14457;BCL2_HUMAN;;5280453
Q14457;BCL2_HUMAN;;5280647
Q14457;BCL2_HUMAN;;5280795
Q14457;BCL2_HUMAN;;5280795
Q14457;BCL2_HUMAN;;5281224
Q14457;BCL2_HUMAN;;5281233
Q14457;BCL2_HUMAN;;5281319
Q14457;BCL2_HUMAN;;5281576
Q14457;BCL2_HUMAN;;5281605
Q14457;BCL2_HUMAN;;5281614
Q14457;BCL2_HUMAN;;5281616
Q14457;BCL2_HUMAN;;5281727
Q14457;BCL2_HUMAN;;5281788
Q14457;BCL2_HUMAN;;5281847
Q14457;BCL2_HUMAN;;5281858
Q14457;BCL2_HUMAN;;5283560
Q14457;BCL2_HUMAN;;5284373
Q14457;BCL2_HUMAN;;5284461
Q14457;BCL2_HUMAN;;5288783
Q14457;BCL2_HUMAN;;5288826
Q14457;BCL2_HUMAN;;5311139
Q14457;BCL2_HUMAN;;5311172
Q14457;BCL2_HUMAN;;5311501
Q14457;BCL2_HUMAN;;5329102
Q14457;BCL2_HUMAN;;5352425
Q14457;BCL2_HUMAN;;5353431
Q14457;BCL2_HUMAN;;5359596
Q14457;BCL2_HUMAN;;5387181
Q14457;BCL2_HUMAN;;5388962
Q14457;BCL2_HUMAN;;5458510
Q14457;BCL2_HUMAN;;5459308
Q14457;BCL2_HUMAN;;5462310
Q14457;BCL2_HUMAN;;5462310
Q14457;BCL2_HUMAN;;5497171
Q14457;BCL2_HUMAN;;5702538
Q14457;BCL2_HUMAN;;5717801
Q14457;BCL2_HUMAN;;6018993
Q14457;BCL2_HUMAN;;6326970
Q14457;BCL2_HUMAN;;6435890
Q14457;BCL2_HUMAN;;6436223
Q14457;BCL2_HUMAN;;6476031
Q14457;BCL2_HUMAN;;6914120
Q14457;BCL2_HUMAN;;6918774
Q14457;BCL2_HUMAN;;9549209
Q14457;BCL2_HUMAN;;9578570
Q14457;BCL2_HUMAN;;9814817
Q14457;BCL2_HUMAN;;9818306
Q14457;BCL2_HUMAN;;9887712
Q14457;BCL2_HUMAN;;9910393
Q14457;BCL2_HUMAN;;9918693
Q14457;BCL2_HUMAN;;10091424
Q14457;BCL2_HUMAN;;10200390
Q14457;BCL2_HUMAN;;10313045
Q14457;BCL2_HUMAN;;10334137
Q14457;BCL2_HUMAN;;11168203
Q14457;BCL2_HUMAN;;11178236
Q14457;BCL2_HUMAN;;11228183
Q14457;BCL2_HUMAN;;11450633
Q14457;BCL2_HUMAN;;11524144
Q14457;BCL2_HUMAN;;11601669
Q14457;BCL2_HUMAN;;11655119
Q14457;BCL2_HUMAN;;11784642
Q14457;BCL2_HUMAN;;11949646
Q14457;BCL2_HUMAN;;12313376
Q14457;BCL2_HUMAN;;12359166
Q14457;BCL2_HUMAN;;12934390
Q14457;BCL2_HUMAN;;14036811
Q14457;BCL2_HUMAN;;14101198
Q14457;BCL2_HUMAN;;14240392
Q14457;BCL2_HUMAN;;15558620
Q14457;BCL2_HUMAN;;16211032
Q14457;BCL2_HUMAN;;21146795
Q14457;BCL2_HUMAN;;21944094
Q14457;BCL2_HUMAN;;24776445
Q14457;BCL2_HUMAN;;24808138
Q14457;BCL2_HUMAN;;24866313
Q14457;BCL2_HUMAN;;25167777
Q14457;BCL2_HUMAN;;44144393
Q14457;BCL2_HUMAN;;46907787
Q14457;BCL2_HUMAN;;53308655
Q14457;BCL2_HUMAN;;53308705
Q14457;BCL2_HUMAN;;53469448
Q14457;BCL2_HUMAN;;54679073
Q14457;BCL2_HUMAN;;54680783
Q14457;BCL2_HUMAN;;56970298
Q14457;BCL2_HUMAN;;57426056
Q14457;BCL2_HUMAN;;69247748
Q14457;BCL2_HUMAN;;71307558
Q14457;BCL2_HUMAN;;73073981
Q14457;BCL2_HUMAN;;76336194
Q14457;BCL2_HUMAN;;88776687
Q14457;BCL2_HUMAN;;135398658
Q14457;BCL2_HUMAN;;135398661
Q14457;BCL2_HUMAN;;139269842
Q14457;BCL2_HUMAN;;154926030
Q14457;BCL2_HUMAN;;169408274
Q8N726;CDN2A_HUMAN;;11
Q8N726;CDN2A_HUMAN;;241
Q8N726;CDN2A_HUMAN;;247
Q8N726;CDN2A_HUMAN;;264
Q8N726;CDN2A_HUMAN;;297
Q8N726;CDN2A_HUMAN;;544
Q8N726;CDN2A_HUMAN;;702
Q8N726;CDN2A_HUMAN;;784
Q8N726;CDN2A_HUMAN;;785
Q8N726;CDN2A_HUMAN;;890
Q8N726;CDN2A_HUMAN;;896
Q8N726;CDN2A_HUMAN;;935
Q8N726;CDN2A_HUMAN;;936
Q8N726;CDN2A_HUMAN;;977
Q8N726;CDN2A_HUMAN;;991
Q8N726;CDN2A_HUMAN;;1119
Q8N726;CDN2A_HUMAN;;1254
Q8N726;CDN2A_HUMAN;;1322
Q8N726;CDN2A_HUMAN;;1530
Q8N726;CDN2A_HUMAN;;1983
Q8N726;CDN2A_HUMAN;;2148
Q8N726;CDN2A_HUMAN;;2236
Q8N726;CDN2A_HUMAN;;2336
Q8N726;CDN2A_HUMAN;;2347
Q8N726;CDN2A_HUMAN;;2478
Q8N726;CDN2A_HUMAN;;2513
Q8N726;CDN2A_HUMAN;;2533
Q8N726;CDN2A_HUMAN;;2578
Q8N726;CDN2A_HUMAN;;2719
Q8N726;CDN2A_HUMAN;;2797
Q8N726;CDN2A_HUMAN;;2912
Q8N726;CDN2A_HUMAN;;2973
Q8N726;CDN2A_HUMAN;;3026
Q8N726;CDN2A_HUMAN;;3036
Q8N726;CDN2A_HUMAN;;3120
Q8N726;CDN2A_HUMAN;;3121
Q8N726;CDN2A_HUMAN;;3334
Q8N726;CDN2A_HUMAN;;3385
Q8N726;CDN2A_HUMAN;;3386
Q8N726;CDN2A_HUMAN;;3496
Q8N726;CDN2A_HUMAN;;3536
Q8N726;CDN2A_HUMAN;;3637
Q8N726;CDN2A_HUMAN;;3639
Q8N726;CDN2A_HUMAN;;3657
Q8N726;CDN2A_HUMAN;;3676
Q8N726;CDN2A_HUMAN;;3749
Q8N726;CDN2A_HUMAN;;3902
Q8N726;CDN2A_HUMAN;;3973
Q8N726;CDN2A_HUMAN;;4032
Q8N726;CDN2A_HUMAN;;4055
Q8N726;CDN2A_HUMAN;;4115
Q8N726;CDN2A_HUMAN;;4261
Q8N726;CDN2A_HUMAN;;4763
