protein,cid,interaction,prob
BECN1,6021,0,0.14
BECN1,190,0,0.46
BECN1,790,0,0.36
BECN1,1031,1,0.7
BECN1,445354,1,0.68
BECN1,6037,1,0.8
BECN1,493570,0,0.24
BECN1,448751,0,0.46
BECN1,385,1,0.88
BECN1,760,0,0.36
BECN1,743,1,0.9
BECN1,7054,0,0.28
BECN1,264,1,0.96
BECN1,47936,1,0.66
BECN1,439685,0,0.28
BECN1,5282745,1,0.68
BECN1,2879,1,0.72
BECN1,1032,1,0.86
BECN1,46936757,1,0.8
BECN1,19,0,0.42
BECN1,14969,0,0.3
BECN1,2969,1,0.96
BECN1,6590,1,0.94
BECN1,10430,1,0.96
BECN1,440995,1,0.92
BECN1,439260,1,0.66
BECN1,8617,0,0.12
BECN1,1135,1,0.56
BECN1,7991,1,0.96
BECN1,3715,1,0.8
BECN1,5770,0,0.34
BECN1,1176,0,0.24
BECN1,936,0,0.18
BECN1,12530,1,0.96
BECN1,443884,0,0.1
BECN1,440473,0,0.22
BECN1,1549107,1,0.66
BECN1,174174,0,0.4
BECN1,1491,0,0.42
BECN1,647,0,0.48
BECN1,5326566,0,0.24
BECN1,7997,1,0.72
BECN1,1005,1,0.62
BECN1,757,1,0.68
BECN1,24417,1,0.54
BECN1,46936732,0,0.5
BECN1,1123,0,0.34
BECN1,6047,0,0.3
BECN1,441478,1,0.58
BECN1,6581,1,0.6
BECN1,11047943,0,0.42
BECN1,9294,1,0.68
BECN1,31721,0,0.34
BECN1,3007,0,0.3
BECN1,10836,1,0.86
BECN1,342,1,0.76
BECN1,3631,0,0.14
BECN1,6013,0,0.48
BECN1,6128,0,0.24
BECN1,3662,0,0.42
BECN1,9750,0,0.22
BECN1,5288826,0,0.46
CDN2A,5870,0,0.06
CDN2A,445154,1,0.74
CDN2A,46937002,0,0.02
CDN2A,46936193,0,0.06
CDN2A,54675858,0,0.18
CDN2A,5280961,0,0.06
CDN2A,2519,0,0.08
CDN2A,2153,0,0.08
CDN2A,5429,0,0.08
CDN2A,2353,0,0.14
CDN2A,5994,0,0.18
CDN2A,10235,0,0.16
CDN2A,1060,0,0.0
CDN2A,5280934,0,0.04
CDN2A,6054,0,0.1
CDN2A,119205,0,0.16
CDN2A,637517,0,0.04
CDN2A,996,1,0.58
CDN2A,439246,0,0.26
CDN2A,3034034,0,0.12
CDN2A,1130,0,0.22
CDN2A,3893,0,0.12
CDN2A,12620,0,0.2
CDN2A,444294,0,0.22
CDN2A,14985,0,0.12
CDN2A,338,0,0.02
CDN2A,5280863,0,0.22
CDN2A,446220,0,0.02
CDN2A,702,0,0.38
CDN2A,3776,0,0.2
CDN2A,5280343,1,0.68
CDN2A,6305,0,0.26
CDN2A,107971,0,0.0
CDN2A,6274,0,0.12
CDN2A,6267,0,0.32
CDN2A,5962,0,0.24
CDN2A,5862,0,0.4
CDN2A,33032,1,0.66
CDN2A,1174,0,0.22
CDN2A,453551,0,0.48
CDN2A,1110,0,0.06
CDN2A,938,0,0.08
CDN2A,7478,0,0.16
CDN2A,10133,0,0.1
CDN2A,31401,0,0.1
CDN2A,221493,0,0.1
CDN2A,79034,0,0.04
CDN2A,60961,0,0.06
CDN2A,3000322,0,0.02
CDN2A,5281672,0,0.14
CDN2A,1045,0,0.16
CDN2A,199,0,0.06
CDN2A,1103,0,0.06
CDN2A,785,1,0.8
CDN2A,3000346,0,0.48
CDN2A,998,0,0.02
CDN2A,46936484,0,0.02
CDN2A,955,0,0.46
CDN2A,243,0,0.14
CDN2A,1102,0,0.02
CDN2A,971,0,0.04
CDN2A,25322948,0,0.1
CDN2A,681,0,0.22
CDN2A,9996708,0,0.08
CDN2A,750,0,0.26
CDN2A,444863,0,0.04
CDN2A,26470759,0,0.3
CDN2A,289,1,0.72
CDN2A,8969,0,0.06
CDN2A,1054,0,0.3
CDN2A,5281855,0,0.2
CDN2A,72281,0,0.02
CDN2A,54670067,0,0.1
CDN2A,145742,0,0.18
CDN2A,942,0,0.38
CDN2A,3532,0,0.12
CDN2A,2230,0,0.1
CDN2A,379,0,0.12
CDN2A,6137,0,0.5
CDN2A,16666,0,0.26
CDN2A,5283731,0,0.0
CDN2A,5280795,0,0.0
CDN2A,3182,0,0.12
CDN2A,311,0,0.2
CDN2A,6089,0,0.1
CDN2A,441074,0,0.12
CDN2A,612,0,0.02
CDN2A,6057,0,0.06
CDN2A,6912,0,0.2
CDN2A,5960,0,0.28
CDN2A,5951,0,0.32
CDN2A,6288,0,0.24
CDN2A,6287,0,0.32
CDN2A,6106,0,0.36
CDN2A,239,0,0.16
CDN2A,5950,0,0.32
CDN2A,154417,0,0.04
CDN2A,6140,0,0.1
CDN2A,46936492,0,0.14
CDN2A,5978,1,0.8
CDN2A,241903,1,0.76
CDN2A,6021,0,0.12
CDN2A,190,0,0.18
CDN2A,790,0,0.04
CDN2A,1031,0,0.22
CDN2A,445354,0,0.08
CDN2A,6037,1,0.88
CDN2A,493570,0,0.22
CDN2A,448751,0,0.34
CDN2A,385,0,0.1
CDN2A,760,0,0.0
CDN2A,743,0,0.14
CDN2A,7054,0,0.0
CDN2A,264,0,0.04
CDN2A,47936,0,0.1
