protein,com_id,com_pubchem_id,prob
KLOT,COM00005149,942,0.24
IGF1,COM00004003,1491,0.24
CDN2A,COM00005095,9294,0.24
BECN1,COM00004325,5326566,0.24
KLOT,COM00002659,10430,0.24
KLOT,COM00003147,440473,0.24
IGF1,COM00000666,445154,0.24
IGF1,COM00006234,5282745,0.24
BECN1,COM00005421,955,0.24
BECN1,COM00000039,174174,0.24
IGF1,COM00000994,5280934,0.24
IGF1,COM00006158,1032,0.24
CDN2A,COM00004325,5326566,0.24
BECN1,COM00004404,5960,0.24
SIR2,COM00005095,9294,0.24
BECN1,COM00001865,154417,0.24
IGF1,COM00004410,5962,0.24
SIR2,COM00002234,702,0.24
BECN1,COM00006267,998,0.23
IGF1,COM00004018,25322948,0.23
BECN1,COM00002506,996,0.23
SIR3,COM00005421,955,0.23
KLOT,COM00001753,1005,0.23
CDN2A,COM00001306,385,0.23
SIR4,COM00006608,1174,0.23
CDN2A,COM00000996,6137,0.23
IGF1,COM00000198,5770,0.23
IGF1,COM00003488,637517,0.23
IGF1,COM00001076,6021,0.23
IGF1,COM00001719,443884,0.23
KLOT,COM00004404,5960,0.23
BECN1,COM00001634,971,0.23
SIR2,COM00004373,31721,0.23
KLOT,COM00002627,6013,0.23
SIR1,COM00002939,199,0.23
KLOT,COM00004407,1103,0.23
BECN1,COM00004625,33032,0.23
SIR2,COM00004730,342,0.23
IGF1,COM00001467,441478,0.22
CDN2A,COM00004948,24417,0.22
CDN2A,COM00004410,5962,0.22
IGF1,COM00005155,3007,0.22
IGF1,COM00003588,10836,0.22
SIR5,COM00000675,1130,0.22
KLOT,COM00005890,647,0.22
SIR2,COM00004410,5962,0.22
KLOT,COM00000320,107971,0.22
SIR2,COM00000278,14969,0.22
IGF1,COM00002728,26470759,0.22
IGF1,COM00000837,72281,0.22
IGF1,COM00001111,453551,0.22
CDN2A,COM00004923,6287,0.22
BECN1,COM00002178,145742,0.22
IGF1,COM00003201,10235,0.22
BECN1,COM00004713,7054,0.22
KLOT,COM00000098,757,0.22
SIR2,COM00004077,1135,0.21
KLOT,COM00000583,6590,0.21
KLOT,COM00004185,7997,0.21
IGF1,COM00002954,7478,0.21
SIR5,COM00004134,5429,0.21
SIR3,COM00005979,938,0.21
SIR2,COM00003265,119205,0.21
KLOT,COM00002137,6912,0.21
KLOT,COM00005439,79034,0.21
BECN1,COM00002122,46937002,0.21
SIR3,COM00004923,6287,0.21
BECN1,COM00002927,445354,0.21
BECN1,COM00001719,443884,0.21
SIR3,COM00001997,5870,0.21
KLOT,COM00001180,2879,0.21
SIR2,COM00005174,681,0.21
SIR4,COM00004345,16666,0.21
KLOT,COM00000996,6137,0.2
SIR4,COM00004908,379,0.2
IGF1,COM00000117,3631,0.2
CDN2A,COM00005892,3532,0.2
KLOT,COM00004406,54670067,0.2
SIR5,COM00000198,5770,0.2
KLOT,COM00004927,1054,0.2
SIR2,COM00004927,1054,0.2
KLOT,COM00004410,5962,0.2
IGF1,COM00004327,760,0.2
IGF1,COM00005088,6267,0.2
BECN1,COM00001076,6021,0.2
SIR4,COM00002278,3893,0.2
SIR3,COM00004258,439260,0.2
IGF1,COM00004524,448751,0.2
SIR5,COM00001997,5870,0.2
SIR4,COM00001106,8617,0.2
SIR4,COM00004077,1135,0.2
CDN2A,COM00003265,119205,0.2
SIR3,COM00005448,444294,0.2
BECN1,COM00006234,5282745,0.2
SIR4,COM00003181,12530,0.2
SIR5,COM00000890,2153,0.2
CDN2A,COM00002768,12620,0.2
SIR5,COM00006114,5978,0.2
IGF1,COM00000098,757,0.2
IGF1,COM00005892,3532,0.2
BECN1,COM00000994,5280934,0.2
SIR4,COM00000363,2969,0.2
SIR3,COM00002627,6013,0.2
IGF1,COM00004134,5429,0.2
SIR2,COM00004376,2353,0.19
BECN1,COM00003488,637517,0.19
CDN2A,COM00004404,5960,0.19
SIR5,COM00002278,3893,0.19
BECN1,COM00002046,221493,0.19
SIR5,COM00003181,12530,0.19
BECN1,COM00004262,1549107,0.19
CDN2A,COM00004908,379,0.19
SIR1,COM00000198,5770,0.19
SIR3,COM00004922,5950,0.19
SIR5,COM00004908,379,0.19
CDN2A,COM00002278,3893,0.19
SIR5,COM00000363,2969,0.19
BECN1,COM00005361,10133,0.19
BECN1,COM00005101,31401,0.19
SIR5,COM00000037,241903,0.19
CDN2A,COM00002506,996,0.19
IGF1,COM00003179,243,0.19
IGF1,COM00002506,996,0.19
IGF1,COM00004398,46936193,0.19
SIR3,COM00000890,2153,0.19
CDN2A,COM00001195,9750,0.19
CDN2A,COM00003181,12530,0.19
SIR2,COM00002939,199,0.19
SIR2,COM00005979,938,0.19
KLOT,COM00000675,1130,0.19
SIR2,COM00004404,5960,0.19
IGF1,COM00000205,2519,0.19
CDN2A,COM00004730,342,0.19
SIR2,COM00005895,5281855,0.19
SIR2,COM00001180,2879,0.19
IGF1,COM00000758,1060,0.19
CDN2A,COM00000363,2969,0.19
CDN2A,COM00001753,1005,0.19
KLOT,COM00003201,10235,0.18
IGF1,COM00004623,493570,0.18
SIR5,COM00004077,1135,0.18
IGF1,COM00004404,5960,0.18
CDN2A,COM00000101,439685,0.18
CDN2A,COM00003179,243,0.18
KLOT,COM00002122,46937002,0.18
IGF1,COM00000890,2153,0.18
SIR3,COM00005895,5281855,0.18
SIR3,COM00004908,379,0.18
KLOT,COM00000994,5280934,0.18
SIR3,COM00003181,12530,0.18
SIR2,COM00006608,1174,0.18
IGF1,COM00001191,5862,0.18
CDN2A,COM00004922,5950,0.18
CDN2A,COM00003201,10235,0.18
SIR3,COM00002278,3893,0.18
SIR3,COM00000363,2969,0.18
IGF1,COM00000014,6089,0.18
IGF1,COM00003147,440473,0.18
BECN1,COM00000516,5994,0.18
IGF1,COM00000748,6274,0.18
KLOT,COM00006234,5282745,0.18
KLOT,COM00001194,6288,0.18
BECN1,COM00003107,6128,0.18
IGF1,COM00002956,46936492,0.17
SIR3,COM00002659,10430,0.17
SIR2,COM00001233,1031,0.17
SIR2,COM00005892,3532,0.17
KLOT,COM00000140,1123,0.17
CDN2A,COM00004258,439260,0.17
CDN2A,COM00002335,3034034,0.17
CDN2A,COM00001237,5280863,0.17
IGF1,COM00000076,54675858,0.17
SIR5,COM00000140,1123,0.17
SIR3,COM00001194,6288,0.17
KLOT,COM00000748,6274,0.17
KLOT,COM00000666,445154,0.17
KLOT,COM00002683,7991,0.17
SIR3,COM00005088,6267,0.17
SIR4,COM00000117,3631,0.17
SIR3,COM00005439,79034,0.17
KLOT,COM00001695,289,0.17
SIR4,COM00000037,241903,0.17
CDN2A,COM00006100,441074,0.17
SIR4,COM00006114,5978,0.17
IGF1,COM00000993,5951,0.17
SIR4,COM00004325,5326566,0.17
SIR4,COM00005448,444294,0.17
CDN2A,COM00004622,6106,0.17
KLOT,COM00002768,12620,0.17
CDN2A,COM00002627,6013,0.16
KLOT,COM00002335,3034034,0.16
BECN1,COM00004922,5950,0.16
CDN2A,COM00001038,6581,0.16
SIR2,COM00000140,1123,0.16
CDN2A,COM00000516,5994,0.16
KLOT,COM00002631,785,0.16
SIR3,COM00001306,385,0.16
CDN2A,COM00006158,1032,0.16
IGF1,COM00004713,7054,0.16
SIR4,COM00002939,199,0.16
IGF1,COM00001194,6288,0.16
KLOT,COM00006100,441074,0.16
SIR5,COM00004873,8969,0.16
SIR5,COM00000748,6274,0.16
KLOT,COM00003206,6047,0.16
CDN2A,COM00006020,5281672,0.16
KLOT,COM00005421,955,0.16
BECN1,COM00004398,46936193,0.16
SIR3,COM00004185,7997,0.16
KLOT,COM00001634,971,0.16
IGF1,COM00004056,2230,0.15
CDN2A,COM00003107,6128,0.15
SIR5,COM00000205,2519,0.15
IGF1,COM00006267,998,0.15
BECN1,COM00005220,19,0.15
IGF1,COM00004237,239,0.15
BECN1,COM00006158,1032,0.15
KLOT,COM00001306,385,0.15
KLOT,COM00002927,445354,0.15
CDN2A,COM00006167,9996708,0.15
SIR4,COM00001076,6021,0.15
KLOT,COM00002929,14985,0.15
CDN2A,COM00004623,493570,0.15
CDN2A,COM00003147,440473,0.15
SIR2,COM00003297,3776,0.15
SIR3,COM00005174,681,0.15
SIR2,COM00001195,9750,0.15
